N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
83,한국항공우주,"42,600","1,200",+2.90%,"5,000","41,524","97,475",17.97,"891,606",64.94,5.19,
84,GS,"44,200",600,+1.38%,"5,000","41,069","92,915",19.11,"121,562",2.89,15.55,
85,쌍용C&E,"8,080",20,+0.25%,100,"40,712","503,860",3.27,"325,397",21.90,11.12,
86,한진칼,"60,700","1,100",+1.85%,"2,500","40,524","66,761",14.79,"54,285",236.19,1.11,
87,두산밥캣,"39,400",550,+1.42%,500,"39,498","100,249",25.02,"150,407",10.24,9.19,
88,아모레G,"47,250",600,+1.29%,500,"38,961","82,458",15.35,"114,391",25.20,5.49,
89,삼성카드,"33,250",500,+1.53%,"5,000","38,523","115,859",7.25,"94,245",6.99,7.53,
90,이마트,"136,500","1,500",-1.09%,"5,000","38,050","27,876",30.00,"105,286",2.42,16.25,
91,NH투자증권,"11,400",150,+1.33%,"5,000","37,810","331,666",15.93,"489,418",3.72,14.77,
92,GS건설,"43,250",350,+0.82%,"5,000","37,014","85,581",27.54,"322,826",9.02,9.32,
93,삼성증권,"41,100",600,+1.48%,"5,000","36,702","89,300",29.99,"198,355",3.80,16.94,
94,한미약품,"295,000","17,000",+6.12%,"2,500","36,338","12,318",13.21,"105,993",54.22,8.75,
95,한국가스공사,"39,000","1,150",+3.04%,"5,000","36,002","92,313",10.45,"401,130",3.79,11.63,
96,현대오토에버,"130,500","7,500",+6.10%,500,"35,788","27,424",1.85,"130,949",48.30,7.26,
97,롯데지주,"32,750",500,+1.55%,200,"34,358","104,909",7.77,"78,398",11.24,4.61,
98,오리온,"86,900",700,+0.81%,500,"34,357","39,536",36.09,"46,042",13.33,12.75,
99,팬오션,"6,370",20,-0.31%,"1,000","34,052","534,570",14.24,"1,665,917",6.20,17.16,
100,현대미포조선,"83,400","5,400",+6.92%,"5,000","33,312","39,942",10.44,"832,179",-20.86,-7.11,
101,호텔신라,"82,700",300,+0.36%,"5,000","32,458","39,248",13.61,"128,197",122.16,4.51,
